序号,代码,名称,最新价,今日涨跌幅,今日主力净流入-净额,今日主力净流入-净占比,今日超大单净流入-净额,今日超大单净流入-净占比,今日大单净流入-净额,今日大单净流入-净占比,今日中单净流入-净额,今日中单净流入-净占比,今日小单净流入-净额,今日小单净流入-净占比
4107,000545,金浦钛业,2.02,-0.49,-4866699.0,-21.27,-4600386.0,-20.11,-266313.0,-1.16,740172.0,3.24,4126527.0,18.04
4108,688597,煜邦电力,10.86,2.65,-4871274.0,-10.1,-2458005.0,-5.1,-2413269.0,-5.0,4286975.0,8.89,584299.0,1.21
4109,688359,三孚新科,46.69,1.79,-4871935.0,-11.12,754360.0,1.72,-5626295.0,-12.84,-536263.0,-1.22,5408197.0,12.35
4110,688023,安恒信息,45.98,3.7,-4873271.0,-3.26,6303704.0,4.22,-11176975.0,-7.48,-9661525.0,-6.46,14534797.0,9.73
4111,002842,翔鹭钨业,6.74,4.82,-4888904.0,-4.75,2378552.0,2.31,-7267456.0,-7.06,1680586.0,1.63,3208319.0,3.12
4112,000785,居然智家,3.56,-3.52,-4909036.0,-0.53,21752181.0,2.37,-26661217.0,-2.9,15569366.0,1.69,-10660336.0,-1.16
4113,000672,上峰水泥,8.01,-1.6,-4911083.0,-8.28,-3996104.0,-6.74,-914979.0,-1.54,6271385.0,10.58,-1360300.0,-2.29
4114,600741,华域汽车,16.4,-1.44,-4922334.0,-1.82,-14758270.0,-5.45,9835936.0,3.63,6105852.0,2.25,-1183517.0,-0.44
4115,688605,先锋精科,64.48,0.89,-4927861.0,-5.58,-122131.0,-0.14,-4805730.0,-5.44,3302596.0,3.74,1625265.0,1.84
4116,688297,中无人机,38.21,2.74,-4929450.0,-2.73,9348357.0,5.18,-14277807.0,-7.9,-2258580.0,-1.25,7188030.0,3.98
4117,002062,宏润建设,4.8,0.42,-4933211.0,-8.61,-1249349.0,-2.18,-3683862.0,-6.43,1793099.0,3.13,3140112.0,5.48
4118,002217,*ST合泰,2.24,1.82,-4933460.0,-5.45,-2958601.0,-3.27,-1974859.0,-2.18,5793934.0,6.4,-860473.0,-0.95
4119,300081,恒信东方,6.09,2.7,-4934537.0,-4.44,2299030.0,2.07,-7233567.0,-6.51,-3360878.0,-3.02,8295415.0,7.46
4120,002117,东港股份,11.52,3.23,-4936912.0,-3.03,1333516.0,0.82,-6270428.0,-3.85,-6208780.0,-3.81,11145692.0,6.85
